Inspecting Command,Inspecting Organization,Inspecting Organization Description,Inspected Command,Inspected Organization,Inspected Organization Description,Inspection Type,Inspection Name,Inspection Note,Start Inspection Date,End Inspection Date,Publish Date,Corrective Action Suspense Date,Deficiency Close Date,Deficiency Fix Rate (# of days),Deficiency Tracking Number,Deficiency Description,Functional Area,Impact,Deficiency Status,Item Category,Item Index and Item Name,Deficiency Severity,OPR,OCR,MAJCOM FAM OPR,HHQ,Repeat,Unit Identified,PFW&A,Reference,Countermeasure ECD,Countermeasure OPR,Countermeasure Status,Countermeasure Text,Assigned Root Cause (RC),Primary or Contributing RC?,RC Deficiency Code(s) (AFI 90-201)
AMW,163 RW,144 FW,ANG,Unit 26,Unit 26,CCIP,hendrerit at vulputate vitae nisl,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,7/17/2014,4/8/2014,10/5/2014,10/12/2015,12/22/2014,166,75.248.160.110,Sed ante. Vivamus tortor. Duis mattis egestas metus.,SE,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,Accepted,SUB-CATEGORY,1.1.4.2 Root Casue Name,Significant,Donna Sanders,Craig Green,,FALSE,FALSE,TRUE,TRUE,929-28-7933,4/26/2015,Laura Howell,In Progress,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,tincidunt ante vel ipsum praesent blandit lacinia erat,Contributing,SE2 Selected aspects of flight safety program not effectively implemented
AMW,129 RQW,146 AMW,ANG,Unit 61,Unit 61,UEI,luctus et ultrices posuere cubilia,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,5/4/2014,1/11/2014,10/27/2014,3/16/2015,11/4/2015,311,255.97.27.147,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",A5,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,Proposed,SUB-CATEGORY,1.2.1.4 Root Casue Name,Significant,Alice Hart,John Lee,,FALSE,FALSE,FALSE,TRUE,946-34-6774,9/4/2015,Evelyn Watkins,Complete,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,Primary,SE3 Flight Safety Supervisory support inadequate 
AETC,129 RQW,146 AMW,ANG,Unit 77,Unit 77,CCIP,amet eleifend pede,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,3/16/2015,9/14/2015,9/22/2014,10/8/2015,1/21/2015,524,16.118.93.251,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",A10,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,Accepted,SUB-CATEGORY,1.3.1.1 Root Casue Name,Critcal,Joyce Lynch,Sarah Myers,,TRUE,TRUE,FALSE,TRUE,532-96-5875,7/11/2015,Kenneth Wells,In Progress,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,in tempor turpis nec euismod scelerisque quam turpis adipiscing,Contributing,SE4 Ground Safety Program management inadequate 
ACC,163 RW,195 W,ANG,Unit 43,Unit 43,UEI,pulvinar nulla pede ullamcorper augue,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,1/18/2015,9/25/2015,4/5/2015,6/17/2015,3/30/2015,290,152.123.164.224,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",A4,justo etiam pretium iaculis justo in hac habitasse platea dictumst,Proposed,SUB-CATEGORY,1.4.3.2 Root Casue Name,Significant,Jean Cruz,Douglas Payne,,TRUE,TRUE,TRUE,FALSE,744-18-6662,12/27/2014,Tammy Day,In Progress,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,porttitor pede justo eu massa donec dapibus,Contributing,SE5 Selected aspects of ground safety program not effectively implemented
AETC,144 FW,195 W,ANG,Unit 44,Unit 44,UEI,sit amet sem fusce consequat,convallis nunc proin at turpis a pede posuere nonummy integer non velit,4/18/2015,11/23/2014,4/2/2014,1/9/2015,8/24/2015,58,3.188.234.97,Sed ante. Vivamus tortor. Duis mattis egestas metus.,A1,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,Pending,SUB-CATEGORY,1.1.1.1 Root Casue Name,Minor,Mary Olson,Donna Collins,,FALSE,TRUE,TRUE,FALSE,586-81-1469,1/16/2015,Harold Brooks,In Progress,tristique est et tempus semper est quam pharetra magna ac consequat,neque duis bibendum morbi non quam,Primary,SE6 Ground Safety Supervisory support inadequate 
ACC,195 W,195 W,ANG,Unit 85,Unit 85,UEI,eros viverra eget,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,6/26/2015,4/4/2014,8/31/2014,1/18/2015,10/22/2015,549,193.251.21.143,In congue. Etiam justo. Etiam pretium iaculis justo.,A1,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,Proposed,SUB-CATEGORY,1.4.4.4 Root Casue Name,Significant,Sarah Lawson,Sara Garcia,,TRUE,TRUE,TRUE,FALSE,708-77-9283,10/8/2015,Marilyn Fisher,Not Started,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,nunc purus phasellus in felis donec semper,Contributing,SE7 Space Safety Program management inadequate 
ACC,163 RW,163 RW,ANG,Unit 18,Unit 18,CCIP,at nunc commodo placerat,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,12/4/2013,2/4/2015,11/19/2013,11/29/2014,9/13/2015,425,63.54.225.27,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",A4,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,Closed,SUB-CATEGORY,1.1.2.2 Root Casue Name,Minor,Judith Moore,Victor Duncan,,TRUE,FALSE,FALSE,TRUE,769-44-5308,9/17/2015,Debra Reed,Not Started,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,bibendum imperdiet nullam orci pede venenatis non sodales sed,Contributing,SE8 Selected aspects of space safety program not effectively implemented 
ACC,144 FW,129 RQW,ANG,Unit 81,Unit 81,UEI,mauris vulputate elementum,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,6/11/2014,10/10/2015,7/1/2014,11/9/2015,7/1/2015,698,239.141.199.26,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,A5,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,Accepted,SUB-CATEGORY,1.2.3.3 Root Casue Name,Significant,Ruth Dean,Debra Gutierrez,,TRUE,TRUE,TRUE,TRUE,539-52-3859,12/8/2014,Judy Wright,In Progress,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,habitasse platea dictumst maecenas ut massa quis augue luctus,Contributing,SE9 Space Safety Supervisory support inadequate 
AMW,146 AMW,163 RW,ANG,Unit 100,Unit 100,UEI,sit amet cursus id turpis,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,10/6/2015,10/18/2015,2/9/2015,5/19/2015,12/20/2014,128,194.182.35.40,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",A6,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,Proposed,SUB-CATEGORY,1.4.1.2 Root Casue Name,Minor,Stephen Romero,Steven Jones,,TRUE,FALSE,FALSE,FALSE,136-32-5065,1/18/2015,Jessica Larson,Complete,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,aenean auctor gravida sem praesent,Contributing,SE10 Weapons Safety Program management inadequate 
AMW,144 FW,195 W,ANG,Unit 47,Unit 47,UEI,at ipsum ac tellus,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,8/1/2015,10/18/2015,12/12/2013,12/13/2014,5/12/2015,273,172.3.114.79,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",A4,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,Implemented,SUB-CATEGORY,1.2.3.2 Root Casue Name,Critcal,Kelly Hall,Carolyn Jenkins,,TRUE,FALSE,FALSE,FALSE,353-38-5561,7/4/2015,Alan Fowler,Not Started,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,sagittis sapien cum sociis natoque penatibus et magnis dis,Contributing,SE11 Selected aspects of weapons safety program not effectively implemented 
AMW,144 FW,144 FW,ANG,Unit 73,Unit 73,CCIP,luctus et ultrices posuere,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,7/31/2015,3/12/2014,5/3/2014,3/29/2015,3/3/2015,297,132.150.178.148,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,A10,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,Implemented,SUB-CATEGORY,1.1.3.2 Root Casue Name,Minor,Anthony King,Evelyn Sullivan,,FALSE,TRUE,TRUE,TRUE,158-47-2918,2/26/2015,Christina Arnold,In Progress,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,Contributing,SE12 Weapons Safety Supervisory support inadequate 
AFSPC,163 RW,163 RW,ANG,Unit 15,Unit 15,UEI,est lacinia nisi,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras,10/5/2014,12/16/2014,5/6/2015,10/19/2015,4/8/2015,352,25.68.155.171,Phasellus in felis. Donec semper sapien a libero. Nam dui.,A9,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,Cancelled,SUB-CATEGORY,1.4.1.4 Root Casue Name,Critcal,Gerald Carpenter,Aaron Grant,,FALSE,TRUE,TRUE,TRUE,628-52-9864,3/23/2015,Margaret Gutierrez,Not Started,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,lectus in quam fringilla rhoncus mauris enim leo rhoncus,Contributing,TR1 Training Program management inadequate 
AETC,144 FW,144 FW,ANG,Unit 84,Unit 84,UEI,adipiscing lorem vitae mattis nibh,nulla elit ac nulla sed vel enim sit amet nunc,8/1/2015,1/15/2014,4/4/2014,11/10/2015,5/23/2015,396,52.194.128.131,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",SE,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,Closed,SUB-CATEGORY,1.3.1.1 Root Casue Name,Critcal,Jonathan Berry,Arthur Fuller,,TRUE,FALSE,FALSE,FALSE,740-47-7080,2/22/2015,Daniel Harvey,In Progress,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,sapien dignissim vestibulum vestibulum ante,Contributing,TR2 Training guidance/policy/procedures inadequate 
AETC,163 RW,144 FW,ANG,Unit 65,Unit 65,UEI,eros elementum pellentesque quisque,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,1/12/2015,1/25/2014,5/23/2014,4/15/2015,2/3/2015,387,4.218.145.133,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",A2,lobortis ligula sit amet eleifend pede libero quis orci nullam,Proposed,SUB-CATEGORY,1.2.1.2 Root Casue Name,Significant,Irene Mccoy,Christine Ryan,,FALSE,FALSE,FALSE,TRUE,895-84-9874,9/12/2015,Stephanie Matthews,In Progress,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,tincidunt in leo maecenas pulvinar lobortis est phasellus,Contributing,TR3 Training oversight inadequate 
AMW,146 AMW,195 W,ANG,Unit 10,Unit 10,CCIP,diam id ornare imperdiet,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,2/13/2015,7/29/2015,5/13/2014,7/3/2015,5/19/2015,114,175.92.151.168,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",A2,dui proin leo odio porttitor id consequat in consequat ut nulla,Pending,SUB-CATEGORY,1.1.1.1 Root Casue Name,Critcal,Martha Shaw,Bonnie Day,,TRUE,FALSE,FALSE,TRUE,751-69-4946,10/16/2015,Rose Evans,Complete,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,convallis nunc proin at turpis a,Contributing,TR4 Training support inadequate 
AFSPC,195 W,195 W,ANG,Unit 99,Unit 99,UEI,et ultrices posuere,risus semper porta volutpat quam pede lobortis ligula sit amet,12/15/2014,4/16/2015,8/14/2014,12/7/2014,12/13/2014,545,236.206.120.47,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",A7,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,Open,SUB-CATEGORY,1.4.2.4 Root Casue Name,Critcal,Billy Franklin,Debra Gray,,TRUE,FALSE,TRUE,FALSE,206-55-1957,1/8/2015,Juan Howell,Complete,vestibulum sed magna at nunc commodo placerat praesent blandit nam,luctus tincidunt nulla mollis molestie lorem quisque ut,Primary,TR5 Controls/metrics of training process/progress inadequate 
ACC,129 RQW,195 W,ANG,Unit 68,Unit 68,CCIP,in faucibus orci,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,5/15/2015,3/4/2014,11/8/2014,6/9/2015,5/4/2015,432,60.1.45.56,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",A1,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,Open,SUB-CATEGORY,1.4.1.1 Root Casue Name,Critcal,Stephen Knight,Andrea Wells,,FALSE,TRUE,TRUE,TRUE,720-12-1448,9/22/2015,Russell Bailey,Not Started,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,est risus auctor sed tristique in tempus sit,Contributing,TR6 Initial qualification training inadequate 
AETC,163 RW,129 RQW,ANG,Unit 59,Unit 59,UEI,luctus et ultrices,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,10/9/2014,3/2/2015,11/6/2015,9/12/2015,10/11/2015,398,110.42.217.202,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",A6,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,Proposed,SUB-CATEGORY,1.1.3.2 Root Casue Name,Significant,Melissa Bailey,Jose Mills,,TRUE,FALSE,TRUE,TRUE,792-56-1125,5/6/2015,Pamela Thompson,Complete,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,nascetur ridiculus mus vivamus vestibulum,Contributing,TR7 Hands-on training inadequate 
AMW,163 RW,144 FW,ANG,Unit 29,Unit 29,UEI,at nunc commodo,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac,4/20/2015,1/8/2015,8/29/2014,8/9/2015,10/5/2015,573,20.188.172.126,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,SE,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,Closed,SUB-CATEGORY,1.1.4.2 Root Casue Name,Critcal,Sharon Flores,Harold Sullivan,,FALSE,FALSE,TRUE,FALSE,248-14-5910,12/14/2014,Cynthia Hicks,Not Started,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,imperdiet et commodo vulputate justo in blandit ultrices enim,Contributing,TR8 Upgrade/certification training inadequate 
AFSPC,146 AMW,195 W,ANG,Unit 12,Unit 12,CCIP,bibendum imperdiet nullam orci,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,12/29/2014,6/27/2014,11/4/2015,3/1/2015,11/23/2014,51,25.59.200.253,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,A1,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,Pending,SUB-CATEGORY,1.3.4.1 Root Casue Name,Significant,Denise Bowman,Eric Bennett,,FALSE,TRUE,FALSE,TRUE,796-47-8285,7/25/2015,Irene Carpenter,Not Started,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,id turpis integer aliquet massa id lobortis convallis tortor risus,Primary,TR9 Training Supervisory support inadequate 
AETC,195 W,129 RQW,ANG,Unit 6,Unit 6,UEI,faucibus orci luctus et,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,1/15/2015,9/28/2014,9/2/2015,4/21/2015,7/21/2015,685,137.121.187.104,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",A2,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,Closed,SUB-CATEGORY,1.4.2.4 Root Casue Name,Minor,Frances Ortiz,Benjamin Mason,,FALSE,TRUE,FALSE,FALSE,319-15-4778,11/16/2014,Alice Nichols,In Progress,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,ac enim in tempor turpis nec,Primary,TR10 Training evaluation tools inadequate 
AFSPC,195 W,195 W,ANG,Unit 66,Unit 66,UEI,felis ut at dolor,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,3/25/2015,9/7/2014,1/23/2014,6/10/2015,9/13/2015,26,147.74.211.89,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,A10,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,Open,SUB-CATEGORY,1.2.3.4 Root Casue Name,Critcal,Amanda Perry,Christina Scott,,FALSE,FALSE,TRUE,TRUE,535-83-7374,8/5/2015,Douglas Welch,Complete,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,nulla mollis molestie lorem quisque ut erat,Contributing,TR11 Training documentation inadequate/missing 
AMW,144 FW,163 RW,ANG,Unit 29,Unit 29,UEI,morbi non quam,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo,10/19/2014,3/10/2015,10/6/2015,8/12/2015,11/17/2014,551,253.229.244.35,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",A9,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor,Implemented,SUB-CATEGORY,1.3.2.3 Root Casue Name,Minor,Amy White,Shawn Ward,,FALSE,TRUE,FALSE,FALSE,719-34-4300,10/16/2015,Christina Frazier,Not Started,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,Contributing,HF1 Ops tempo/Workload 
ACC,129 RQW,144 FW,ANG,Unit 61,Unit 61,CCIP,amet nulla quisque arcu,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,3/19/2015,2/21/2015,1/24/2014,10/18/2015,6/5/2015,16,209.255.98.114,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,A5,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,Pending,SUB-CATEGORY,1.4.2.3 Root Casue Name,Significant,Donna Tucker,Shirley Watkins,,FALSE,TRUE,FALSE,FALSE,435-66-8548,7/7/2015,Carlos Rice,In Progress,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,pede lobortis ligula sit amet eleifend pede libero quis,Primary,HF2 Mission changes 
